V1,V2,V3,V4,V5,class
0.27272727272727276,0.11111111111111112,0.10526315789473684,0.7070707070707071,0.25252525252525254,1.0
0.8585858585858586,0.05555555555555556,0.9578947368421052,0.8080808080808082,0.686868686868687,0.0
0.4444444444444445,0.3666666666666667,0.6210526315789473,0.5353535353535355,0.8585858585858586,0.0
0.12121212121212122,0.13333333333333333,0.7894736842105263,0.35353535353535354,0.8080808080808082,0.0
0.4545454545454546,0.044444444444444446,0.1894736842105263,0.5555555555555557,0.07070707070707072,0.0
0.3262626262626263,0.35555555555555557,0.9368421052631578,0.32323232323232326,0.8080808080808082,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.32828282828282834,1.0,0.5473684210526316,0.494949494949495,0.7676767676767677,0.0
0.7272727272727273,0.6666666666666666,0.47368421052631576,0.7979797979797981,0.4545454545454546,0.0
0.6060606060606061,0.08888888888888889,0.1368421052631579,0.14141414141414144,0.32323232323232326,1.0
0.20202020202020204,0.5777777777777778,0.3789473684210526,0.8484848484848485,0.25252525252525254,0.0
0.11111111111111112,0.9777777777777779,0.7052631578947368,0.6666666666666667,0.8989898989898991,0.0
0.31818181818181823,0.35555555555555557,0.3052631578947368,0.29292929292929293,0.6262626262626263,0.0
0.2828282828282829,0.13333333333333333,0.39999999999999997,0.17171717171717174,0.6060606060606061,0.0
0.12121212121212122,0.13333333333333333,0.7894736842105263,0.686868686868687,0.15151515151515152,1.0
0.29292929292929293,0.7333333333333334,0.3684210526315789,0.2828282828282829,0.31313131313131315,1.0
0.33333333333333337,0.044444444444444446,0.5263157894736842,0.5555555555555557,0.10101010101010102,0.0
0.29797979797979796,0.6555555555555556,0.3052631578947368,0.31313131313131315,0.5555555555555557,0.0
0.302020202020202,0.35555555555555557,0.32631578947368417,0.33333333333333337,0.8787878787878788,0.0
0.10101010101010102,0.6666666666666666,0.5368421052631579,0.10101010101010102,0.010101010101010102,0.0
0.09090909090909091,0.3333333333333333,0.7157894736842105,0.18181818181818182,0.8585858585858586,0.0
0.38383838383838387,0.3666666666666667,0.10526315789473684,0.07070707070707072,0.4040404040404041,1.0
0.4040404040404041,0.4666666666666667,0.6105263157894736,0.7575757575757576,0.16161616161616163,1.0
0.302020202020202,0.7777777777777778,0.9999999999999999,0.22222222222222224,0.6666666666666667,0.0
0.4646464646464647,0.22222222222222224,0.7999999999999999,0.9595959595959596,0.6565656565656567,0.0
0.10101010101010102,0.30000000000000004,0.32631578947368417,0.29292929292929293,0.6565656565656567,0.0
0.26767676767676774,0.6666666666666666,0.2947368421052632,0.6666666666666667,0.07070707070707072,0.0
0.10101010101010102,0.43333333333333335,0.7894736842105263,0.31313131313131315,0.6262626262626263,0.0
0.5858585858585859,0.4444444444444445,0.3368421052631579,0.22222222222222224,0.24242424242424243,1.0
0.26262626262626265,0.2888888888888889,0.32631578947368417,0.26262626262626265,0.13131313131313133,0.0
0.30303030303030304,0.22222222222222224,0.5473684210526316,0.30303030303030304,0.5353535353535355,0.0
0.29292929292929293,0.16666666666666666,0.34736842105263155,0.6666666666666667,0.08080808080808081,0.0
0.19191919191919193,0.4222222222222222,0.39999999999999997,0.494949494949495,0.4545454545454546,0.0
0.20202020202020204,0.22222222222222224,0.9263157894736842,0.7777777777777779,0.8080808080808082,0.0
0.09090909090909091,0.6666666666666666,0.6947368421052631,0.19191919191919193,0.5959595959595959,0.0
0.35353535353535354,0.4222222222222222,0.3368421052631579,0.6060606060606061,0.16161616161616163,1.0
0.12121212121212122,0.27222222222222225,0.7894736842105263,0.31313131313131315,0.5959595959595959,0.0
0.393939393939394,0.2888888888888889,0.4105263157894737,0.7777777777777779,0.14141414141414144,1.0
0.31313131313131315,0.16666666666666666,0.6105263157894736,0.7676767676767677,0.5252525252525253,0.0
0.37373737373737376,0.6666666666666666,0.8105263157894737,0.4040404040404041,0.5050505050505051,0.0
0.8585858585858586,0.9111111111111111,0.6947368421052631,0.8383838383838383,0.8383838383838383,0.0
0.29797979797979796,0.3222222222222222,0.32631578947368417,0.7676767676767677,0.10101010101010102,1.0
0.15151515151515152,0.3277777777777778,0.7894736842105263,0.6565656565656567,0.24242424242424243,1.0
0.0,0.2777777777777778,0.5263157894736842,0.09090909090909091,0.07070707070707072,0.0
0.686868686868687,0.30000000000000004,0.8210526315789474,0.31313131313131315,0.5757575757575757,0.0
0.27272727272727276,0.03333333333333333,0.7999999999999999,0.5959595959595959,0.23232323232323235,1.0
0.26767676767676774,0.06666666666666667,0.5999999999999999,0.7575757575757576,0.10101010101010102,1.0
0.3686868686868687,0.7555555555555556,0.10526315789473684,0.6363636363636365,0.18181818181818182,1.0
0.42424242424242425,0.16666666666666666,0.6947368421052631,0.787878787878788,0.4040404040404041,0.0
0.09090909090909091,0.16666666666666666,0.42105263157894735,0.10101010101010102,0.6666666666666667,0.0
0.17171717171717174,0.4,0.8421052631578947,0.14141414141414144,0.6666666666666667,0.0
0.2606060606060606,0.31111111111111117,0.6736842105263158,0.29292929292929293,0.5656565656565657,0.0
0.8989898989898991,0.7555555555555556,0.5157894736842105,0.6565656565656567,0.9090909090909092,0.0
0.2828282828282829,0.3222222222222222,0.19999999999999998,0.37373737373737376,0.5858585858585859,0.0
0.787878787878788,0.5222222222222223,0.3052631578947368,0.98989898989899,0.5959595959595959,0.0
0.29292929292929293,0.8222222222222223,0.4105263157894737,0.41414141414141414,0.5454545454545455,0.0
0.8383838383838383,0.48888888888888893,0.5157894736842105,0.9191919191919193,0.6666666666666667,0.0
0.10101010101010102,0.11111111111111112,0.15789473684210525,0.6565656565656567,0.30303030303030304,0.0
0.15151515151515152,0.35555555555555557,0.05263157894736842,0.27272727272727276,0.29292929292929293,1.0
0.4040404040404041,0.2,0.2736842105263158,0.26262626262626265,0.6767676767676769,0.0
0.2828282828282829,0.8666666666666667,0.4631578947368421,0.17171717171717174,0.6666666666666667,0.0
0.31313131313131315,0.22222222222222224,0.4842105263157895,0.787878787878788,0.8383838383838383,0.0
0.20202020202020204,0.7555555555555556,0.7684210526315789,0.48484848484848486,0.2828282828282829,1.0
0.686868686868687,0.7000000000000001,0.6842105263157895,0.09090909090909091,0.6666666666666667,0.0
0.8080808080808082,0.3222222222222222,0.0631578947368421,0.31313131313131315,0.5151515151515152,0.0
0.6262626262626263,0.13333333333333333,0.3789473684210526,0.36363636363636365,0.32323232323232326,1.0
0.2909090909090909,0.34444444444444444,0.8315789473684211,0.23232323232323235,0.24242424242424243,1.0
0.8080808080808082,0.26666666666666666,0.24210526315789474,0.29292929292929293,0.98989898989899,0.0
0.32323232323232326,0.30000000000000004,0.5473684210526316,0.8181818181818183,0.30303030303030304,0.0
0.6262626262626263,0.6222222222222223,0.11578947368421053,0.24242424242424243,0.22222222222222224,1.0
0.7979797979797981,0.31111111111111117,0.9263157894736842,0.20202020202020204,0.6666666666666667,0.0
0.4545454545454546,0.7222222222222223,0.19999999999999998,1.0,0.5555555555555557,0.0
0.6262626262626263,0.7444444444444446,0.4105263157894737,0.10101010101010102,0.6666666666666667,0.0
0.686868686868687,0.17777777777777778,0.21052631578947367,0.5959595959595959,0.6060606060606061,0.0
0.31313131313131315,0.35555555555555557,0.3052631578947368,0.31313131313131315,0.9696969696969697,0.0
0.5151515151515152,0.2833333333333333,0.5789473684210527,0.17171717171717174,0.6464646464646465,0.0
0.2575757575757576,0.2,0.5263157894736842,0.4040404040404041,0.10101010101010102,0.0
0.2787878787878788,0.2833333333333333,0.8526315789473684,0.27272727272727276,0.33333333333333337,1.0
0.33232323232323235,0.6111111111111112,0.021052631578947368,0.4040404040404041,0.7979797979797981,0.0
0.05050505050505051,0.07777777777777779,0.7368421052631579,0.010101010101010102,0.05050505050505051,0.0
0.32323232323232326,0.22222222222222224,0.0631578947368421,0.26262626262626265,0.24242424242424243,0.0
0.6161616161616161,0.2866666666666667,0.5894736842105264,0.6262626262626263,0.24242424242424243,1.0
0.15151515151515152,0.022222222222222223,0.35789473684210527,0.4040404040404041,0.010101010101010102,0.0
0.20202020202020204,0.3222222222222222,0.2631578947368421,0.494949494949495,0.5656565656565657,0.0
0.393939393939394,0.4666666666666667,0.8736842105263157,0.6565656565656567,0.19191919191919193,1.0
0.37373737373737376,0.1,0.10526315789473684,0.13131313131313133,0.32323232323232326,1.0
0.25252525252525254,0.6000000000000001,0.32631578947368417,0.25252525252525254,0.08080808080808081,0.0
0.14141414141414144,0.7222222222222223,0.19999999999999998,0.26262626262626265,0.6666666666666667,0.0
0.12121212121212122,0.6888888888888889,0.22105263157894736,0.30303030303030304,0.5959595959595959,0.0
0.09090909090909091,0.4222222222222222,0.5684210526315789,0.6969696969696969,0.21212121212121213,1.0
0.6161616161616161,0.4222222222222222,0.09473684210526315,0.38383838383838387,0.30303030303030304,1.0
0.12121212121212122,0.6222222222222223,0.1368421052631579,0.48484848484848486,0.32323232323232326,1.0
0.09090909090909091,0.6777777777777778,0.5578947368421052,0.7575757575757576,0.010101010101010102,1.0
0.29797979797979796,0.22222222222222224,0.9052631578947368,0.4444444444444445,0.2828282828282829,1.0
0.10101010101010102,0.3666666666666667,0.021052631578947368,0.0,0.25252525252525254,0.0
